1,1,0,29,25,0.23,0.155839391,13.9
1,1,0,41,31,0.59,0.129414348,11.8
0,1,0,35,31,0.41,0.203513478,1.21
1,0,1,38,25,0.59,0.184931391,10.9
1,0,1,29,25,0.23,0.226168609,13.9
0,1,0,29,29,0.59,0.213930261,1.42
0,0,1,35,25,0.5,0.254374609,1.441
0,1,0,26,25,0.59,0.221372087,1.874
1,1,0,38,29,0.5,0.129776087,12.1
1,1,0,26,31,0.5,0.126660609,23.7
1,0,1,32,35,0.23,0.205371826,16.3
1,1,0,32,27,0.59,0.12770487,15.3
0,1,0,29,29,0.41,0.215792435,1.643
1,0,1,26,25,0.5,0.18850487,19
0,1,0,26,31,0.32,0.227183913,1.5
0,1,0,32,29,0.68,0.206712783,1.273
0,1,0,38,33,0.68,0.200944435,0.887
1,0,1,29,27,0.32,0.202357478,15.8
0,1,0,41,33,0.32,0.198474609,0.932
1,0,1,29,29,0.23,0.213067826,16.4
1,0,1,38,35,0.5,0.183685478,13.9
0,1,0,41,27,0.23,0.208951913,1.339
0,0,1,38,25,0.5,0.249989043,1.352
0,1,0,35,27,0.41,0.201790174,1.363
1,0,1,32,31,0.68,0.171686,17.8
1,0,1,32,25,0.23,0.228847826,12
1,1,0,26,29,0.59,0.12597887,23.2
1,0,1,32,35,0.5,0.17797713,18
0,1,0,41,33,0.5,0.194443913,0.939
0,1,0,29,31,0.32,0.219356087,1.47
0,1,0,38,29,0.5,0.194373826,1.168
0,0,1,26,29,0.59,0.270498435,1.61
1,0,1,41,35,0.59,0.184032609,12.8
1,0,1,38,27,0.59,0.181251565,11.8
1,0,1,35,35,0.32,0.194666783,14.7
1,0,1,29,29,0.32,0.197152261,17.1
1,0,1,32,35,0.68,0.176202348,19.2
1,0,1,38,31,0.5,0.183584174,12.8
1,1,0,35,25,0.59,0.129817478,12.3
1,1,0,29,25,0.41,0.139408261,15.2
1,0,1,32,27,0.41,0.192878435,14.1
1,1,0,32,27,0.68,0.125614261,15.8
0,1,0,41,33,0.23,0.20712887,1.126
